product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,savings,processed_at,brand,product_type,length,color,features,category_L1,category_L2,category_L3,category_L4,category_L5,product_name_clean
B0B61DSF17,beatXP Kitchen Scale Multipurpose Portable Electronic Digital Weighing Scale | Weight Machine With Back light LCD Display | White |10 kg | 2 Year Warranty |,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DigitalKitchenScales,199,1999,90,3.7,2031,1800,13-04-2026 18:32,beatXP,Other,Not Available,White,None,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,DigitalKitchenScales,Unknown,beatXP Kitchen Scale Multipurpose Portable Electronic Digital Weighing Scale  Weight Machine With Back light LCD Display  White 10 kg  2 Year Warranty
B07VQGVL68,Glun Multipurpose Portable Electronic Digital Weighing Scale Weight Machine (10 Kg - with Back Light),Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DigitalKitchenScales,293,499,41,3.9,44994,206,13-04-2026 18:32,Glun,Other,Not Available,Not Specified,None,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,DigitalKitchenScales,Unknown,Glun Multipurpose Portable Electronic Digital Weighing Scale Weight Machine 10 Kg  with Back Light
B01GFTEV5Y,Pigeon by Stovekraft Cruise 1800 watt Induction Cooktop (Black),Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|InductionCooktop,1699,3193,47,3.8,54032,1494,13-04-2026 18:32,Pigeon,Other,Not Available,Black,None,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,InductionCooktop,Unknown,Pigeon by Stovekraft Cruise 1800 watt Induction Cooktop Black
B08KDBLMQP,"Croma 500W Mixer Grinder with 3 Stainless Steel Leak-proof Jars, 3 speed & Pulse function, 2 years warranty (CRAK4184, White & Purple)",Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MixerGrinders,1290,2500,48,4,6530,1210,13-04-2026 18:32,Croma,Other,Not Available,White,None,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,MixerGrinders,Unknown,Croma 500W Mixer Grinder with 3 Stainless Steel Leakproof Jars 3 speed  Pulse function 2 years warranty CRAK4184 White  Purple
B09X5C9VLK,"Lifelong LLMG23 Power Pro 500-Watt Mixer Grinder with 3 Jars (Liquidizing, Wet Grinding and Chutney Jar), Stainless Steel blades, 1 Year Warranty (Black)",Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MixerGrinders,1299,3500,63,3.8,44050,2201,13-04-2026 18:32,Lifelong,Other,Not Available,Black,None,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,MixerGrinders,Unknown,Lifelong LLMG23 Power Pro 500Watt Mixer Grinder with 3 Jars Liquidizing Wet Grinding and Chutney Jar Stainless Steel blades 1 Year Warranty Black
B00HVXS7WC,"Bajaj Rex 500W Mixer Grinder with Nutri-Pro Feature, 3 Jars, White",Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MixerGrinders,1999,3210,38,4.2,41349,1211,13-04-2026 18:32,Bajaj,Other,Not Available,White,None,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,MixerGrinders,Unknown,Bajaj Rex 500W Mixer Grinder with NutriPro Feature 3 Jars White
B00YMJ0OI8,Prestige PIC 20 1600 Watt Induction Cooktop with Push button (Black),Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|InductionCooktop,2148,3645,41,4.1,31388,1497,13-04-2026 18:32,Prestige,Other,Not Available,Black,None,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,InductionCooktop,Unknown,Prestige PIC 20 1600 Watt Induction Cooktop with Push button Black
B09J2SCVQT,NutriPro Juicer Mixer Grinder - Smoothie Maker - 500 Watts (3 Jars 2 Blades),Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|JuicerMixerGrinders,1969,5000,61,4.1,4927,3031,13-04-2026 18:32,NutriPro,Other,Not Available,Not Specified,None,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,JuicerMixerGrinders,Unknown,NutriPro Juicer Mixer Grinder  Smoothie Maker  500 Watts 3 Jars 2 Blades
B0832W3B7Q,Pigeon By Stovekraft ABS Plastic Acer Plus Induction Cooktop 1800 Watts With Feather Touch Control - Black,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|InductionCooktop,1799,3595,50,3.8,9791,1796,13-04-2026 18:32,Pigeon,Other,Not Available,Black,None,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,InductionCooktop,Unknown,Pigeon By Stovekraft ABS Plastic Acer Plus Induction Cooktop 1800 Watts With Feather Touch Control  Black
B07DGD4Z4C,"Butterfly Jet Elite Mixer Grinder, 750W, 4 Jars (Grey)",Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MixerGrinders,3499,5795,40,3.9,25340,2296,13-04-2026 18:32,Butterfly,Other,Not Available,Grey,None,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,MixerGrinders,Unknown,Butterfly Jet Elite Mixer Grinder 750W 4 Jars Grey
B07GMFY9QM,"SOFLIN Egg Boiler Electric Automatic Off 7 Egg Poacher for Steaming, Cooking, Boiling and Frying (400 Watts, Blue)",Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|EggBoilers,379,999,62,4.3,3096,620,13-04-2026 18:32,SOFLIN,Other,Not Available,Blue,None,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,EggBoilers,Unknown,SOFLIN Egg Boiler Electric Automatic Off 7 Egg Poacher for Steaming Cooking Boiling and Frying 400 Watts Blue
B07S851WX5,"Prestige Sandwich Maker PGMFD 01, Black",Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SandwichMakers,1299,1299,0,4.2,40106,0,13-04-2026 18:32,Prestige,Other,Not Available,Black,None,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,SandwichMakers,Unknown,Prestige Sandwich Maker PGMFD 01 Black
B00W56GLOQ,"Wonderchef Nutri-blend Mixer, Grinder & Blender | Powerful 400W 22000 RPM motor | Stainless steel Blades | 2 unbreakable jars | 2 Years warranty | Online recipe book by Chef Sanjeev Kapoor | Black",Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|JuicerMixerGrinders,2699,5000,46,4,26164,2301,13-04-2026 18:32,Wonderchef,Other,Not Available,Black,None,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,JuicerMixerGrinders,Unknown,Wonderchef Nutriblend Mixer Grinder  Blender  Powerful 400W 22000 RPM motor  Stainless steel Blades  2 unbreakable jars  2 Years warranty  Online recipe book by Chef Sanjeev Kapoor  Black
B01M5B0TPW,Borosil Chef Delite BCH20DBB21 300-Watt Chopper (Black),Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MiniFoodProcessors&Choppers,1819,2490,27,4.4,7946,671,13-04-2026 18:32,Borosil,Other,Not Available,Black,None,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,MiniFoodProcessors&Choppers,Unknown,Borosil Chef Delite BCH20DBB21 300Watt Chopper Black
B08CFJBZRK,Prestige IRIS Plus 750 watt mixer grinder,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MixerGrinders,3249,6295,48,3.8,14062,3046,13-04-2026 18:32,Prestige,Other,Not Available,Not Specified,None,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,MixerGrinders,Unknown,Prestige IRIS Plus 750 watt mixer grinder
B07H3WDC4X,"Simxen Egg Boiler Electric Automatic Off 7 Egg Poacher for Steaming, Cooking Also Boiling and Frying 400 W (Blue, Pink)",Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|EggBoilers,349,999,65,4,15646,650,13-04-2026 18:32,Simxen,Other,Not Available,Blue,None,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,EggBoilers,Unknown,Simxen Egg Boiler Electric Automatic Off 7 Egg Poacher for Steaming Cooking Also Boiling and Frying 400 W Blue Pink
B0949FPSFY,"Bulfyss Stainless Steel Digital Kitchen Weighing Scale & Food Weight Machine for Diet, Nutrition, Health, Fitness, Baking & Cooking (5Kgs, Stainless Steel, 2 Years Warranty)",Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DigitalKitchenScales,799,1999,60,4.1,2162,1200,13-04-2026 18:32,Bulfyss,Other,Not Available,Not Specified,None,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,DigitalKitchenScales,Unknown,Bulfyss Stainless Steel Digital Kitchen Weighing Scale  Food Weight Machine for Diet Nutrition Health Fitness Baking  Cooking 5Kgs Stainless Steel 2 Years Warranty
B08F47T4X5,"VR 18 Pcs - 3 Different Size Plastic Food Snack Bag Pouch Clip Sealer Large, Medium, Small Plastic Snack Seal Sealing Bag Clips Vacuum Sealer (Set of 18, Multi-Color) (Multicolor)",Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|VacuumSealers,89,89,0,4.2,19621,0,13-04-2026 18:32,VR,Other,Not Available,Not Specified,None,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,VacuumSealers,Unknown,VR 18 Pcs  3 Different Size Plastic Food Snack Bag Pouch Clip Sealer Large Medium Small Plastic Snack Seal Sealing Bag Clips Vacuum Sealer Set of 18 MultiColor Multicolor
B00A7PLVU6,Orpat HHB-100E WOB 250-Watt Hand Blender (White),Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandBlenders,753,899,16,4.2,18462,146,13-04-2026 18:32,Orpat,Other,Not Available,White,None,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,HandBlenders,Unknown,Orpat HHB100E WOB 250Watt Hand Blender White
